,Folder,Title,"Creator (suffix, fname, middle, surname)",Keyword,Rights,Abstract,Date Created,Subject,Resource Type,Restrictions,Embargo Dates,PDF Files,,,,,,,
96,\etdadmin_upload_592268,Synaptic and Circuit Mechanisms of Orientation Selectivity in Mouse Retina,"(None, 'Amurta', None, 'Nath')","Electrophysiology, Retina, Retinal Ganglion Cells",In Copyright,"['The mammalian retina harbors more than 30 output channels, each playing a distinct role in processing visual images. A comprehensive understanding of the ‘retinal code’ primarily relies on the functional knowledge of individual output neurons or retinal ganglion cells (RGCs). Despite recent technical advances in imaging and genetics, the function of some neuron types still remains elusive. We have discovered two new types of RGCs in the mouse retina which perform a fundamental visual computation: orientation selectivity (OS). Reconstructions of dendritic trees of these OS ganglion cells have helped us understand the relation between ganglion cell morphology and OS computation. Furthermore, detailed measurements of synaptic conductances coupled with pharmacological manipulations in these RGCs have shed light into novel circuits in the inner retina. In the process, we have discovered an OS amacrine cell which contributes to feature selectivity in one of the OS RGCs. Overall, this work has discovered new and unconventional mechanisms and offers insights into the mechanism of the OS computation at the earliest stage of the visual system.']",1/1/2018,Interdepartmental Neuroscience Program (NUIN),Dissertation,None,no embargo,\etdadmin_upload_592268\Nath_northwestern_0163D_14229.pdf,,,,,,,
97,\etdadmin_upload_593047,The Design of New Sulfur- and Phosphorus-Free Lubricant Additives to Improve Fuel Efficiency in Motor Vehicles,"(None, 'Michael', None, 'Desanker')","Antiwear Additive, Friction Modifier, Fuel Efficiency, Lubricant Additive, Tribology, Viscosity Index Improver",In Copyright,"['The objective of this work has been the design of new lubricant additives to target friction in the boundary lubrication regime and the hydrodynamic lubrication regime. Modern automotive engines operate at higher temperatures and speeds than ever before, and therefore require new and more effective lubricant additives to meet higher performance standards and stricter environmental regulations. ', '\tIn one application, an oil-soluble organic-silver anti-wear additive was designed that is capable of decomposing at high temperatures and pressures to deposit a lubricious layer of metallic silver on the surface. Pin-on-disk tribometry measurements show that a 2.5 wt% loading of this additive in base oil provides consistent friction reduction above 275 oC, the decomposition temperature of base oil. An additive such as this has the potential to replace sulfur- and phosphorus-containing zinc dialkyldithiophosphates (ZDDPs), currently the most effective anti-wear additives in motor applications. ', '\tIn another application, a series of organic friction modifiers (FMs) was designed and synthesized to target friction in the boundary lubrication regime. Alkyl-cyclen derivatives were found to exhibit excellent thermal stability and friction reducing ability, attributed to an ability to form well adsorbed layers on a metal surface. Due to the chelate effect, they bind more strongly to the surface than current commercially available mono- and bidentate FMs and as a result, provide much better friction reduction over a relevant temperature range.', '\tThe final application discussed herein is the design and synthesis of a polyoctene-poly(isodecyl)methacrylate diblock copolymer for use as a viscosity index improver (VII) to resist decreases in viscosity at high temperature. A method was developed to synthesize this diblock copolymer using two different types of polymerization, metallocene catalysis and atom transfer radical polymerization (ATRP). This polymer has the potential to combine the beneficial viscosity modifying effects of a poly-α-olefin and a polymethacrylate into a single complex and hopefully reduce the amount of polymer needed in a complete formulation.']",1/1/2018,Chemistry,Dissertation,None,no embargo,\etdadmin_upload_593047\Desanker_northwestern_0163D_14230.pdf,,,,,,,
98,\etdadmin_upload_593531,Development of a Yeast-Based Biosensor by Directed Evolution of a Yeast Membrane Receptor,"(None, 'Adebola', None, 'Adeniran')",Bioengineering,In Copyright,"[""The ability to efficiently sense and respond to molecular signals is crucial for any organism's survival. Sensitive, specific and timely, microbial sensing systems provide an excellent starting point for the engineering of single-celled organisms to detect new molecules of human interest. Towards this goal, our lab pursues the engineering of diagnostic organisms - single celled sensors that detect and respond to human biomarkers just as any medical diagnostic would. Specifically, my work focuses on the development of a yeast-based biosensor as a diagnostic for chronic kidney disease."", ""Baker's yeast, Saccharomyces cerevisiae, has a well-studied detection system to sense and respond to environmental cues. The crux of this detection system is Ste2p, a G-protein coupled receptor (GPCR) that detects α-factor, an extracellular peptide hormone, and "", 'consequently initiates an internal response in the yeast cell. This internal response can be converted to an output detectable by a human user. My work contributes to knowledge gaps in the development of yeast-based biosensors as medical diagnostics by demonstrating a strategic approach to engineering a yeast membrane receptor to detect an orthogonal peptide biomarker.', 'To address these knowledge gaps, my work is divided into three main studies. The first study establishes a high-throughput directed evolution protocol to evolve yeast membrane receptors with non-native detection capabilities. As a proof of concept, this directed evolution protocol is used to evolve Ste2p to detect peptides that differ by one amino acid as compared to the α -factor peptide.', 'The second study builds upon the developed evolution method and describes efforts towards engineering a yeast based biosensor for a peptide biomarker of chronic kidney disease. A yeast receptor was evolved to detected a C-terminally amidated version of this biomarker. The evolution of the receptor was made possible through a step-wise directed evolution approach. The yeast biosensor detected the amidated biomarker in pooled human urine, highlighting the potential of yeast-based biosensors to be used in clinical settings. This study also interrogates the contributions of mutations accumulated over the course of directed evolution towards overall receptor performance and examines genetic changes to enhance the diagnostic performance of the strain.', 'Lastly, the third study explores the use of deep scanning mutagenesis on Ste2p. The evolved receptors from the second study exhibited hyperactive activity, and deep mutational scanning was performed on Ste2p to identify single amino acid residues in Ste2p that contribute to hyperactive activity. Though the scan did not reveal novel single mutations that contribute to hyperactivity, the study describes the optimization of a one-pot protocol to develop a library of single amino acid mutants, possible reasons as to why the scan for hyperactivity did not yield previously unknown mutations and alternative future experiments where a deep mutational scan of Ste2p could find use in the engineering of Ste2p to detect non-native peptides.']",1/1/2018,Chemical and Biological Engineering,Dissertation,"code: 1, date: 04/03/2019",Private,\etdadmin_upload_593531\Adeniran_northwestern_0163D_14232.pdf,,,,,,,
99,\etdadmin_upload_593571,Essays on Empirical Microeconomics,"(None, 'Yuta', None, 'Toyama')","cap-and-trade, election, electricity, investment, preference aggregation, voter turnout",In Copyright,"['My dissertation consists of two chapters that empirically study policy-related questions in applied microeconomics by using structural econometric modeling developed in industrial organization. In the first chapter, I study the welfare effects of a cap-and-trade program. I develop an equilibrium framework that incorporates forward-looking behavior and transaction costs. In the presence of transaction costs in permit trading, investment patterns may depart from the first best outcome. Storable emissions permits allow firms to smooth costs over time, and abatement investment introduces dynamic incentives into compliance decisions. I apply the framework to study the first nine years (1995-2003) of the US Acid Rain Program. Using data on permit transactions and electricity production, I estimate the model and show that variable transaction costs are substantial. I use the estimated model to quantify the effect of a cap-and-trade program in comparison to a uniform standard, given a fixed level of aggregate emissions. I find that the total costs of reducing emissions under cap-and-trade are 16.6% lower. Although health and environmental damages from \\mathrm{SO_{2}} emissions increase due to the change in the geographic distribution of emissions, the net benefit of the cap-and-trade is positive. I also examine the potential gains from trade in the absence of transaction costs. I find more dispersed patterns of investment and less banking of permits, both of which result in cost savings.', 'In the second chapter, a joint work with Kei Kawai and Yasutora Watanabe, we study how voter turnout affects the aggregation of preferences in elections. Under voluntary voting, election outcomes disproportionately aggregate the preferences of voters with low voting cost and high preference intensity. We show identification of the correlation structure among preferences, costs, and perceptions of voting efficacy, and explore how the correlation affects preference aggregation. Using 2004 U.S. presidential election data, we find that young, low-income, less-educated, and minority voters are underrepresented. All of these groups tend to prefer Democrats, except for the less-educated. Democrats would have won the majority of the electoral votes if all eligible voters had turned out.']",1/1/2018,Economics,Dissertation,None,no embargo,\etdadmin_upload_593571\Toyama_northwestern_0163D_14233.pdf,,,,,,,
100,\etdadmin_upload_594217,Monolithic Hierarchical Nanostructuring of Thin Materials,"(None, 'Won-Kyu', None, 'Lee')","Nanofabrication, Nanophotonics, Nanostructure, Surface Engineering",In Copyright,"['Patterning hierarchical structures in three-dimension (3D) has created nature-inspired functional surfaces. Gecko feet structures have been mimicked for reversible adhesive properties, shark skin for reduced drag, and lotus leaves for self-cleaning surfaces. Rational design of out-of-plane patterns across multiple length scales is crucial because each micro- and nano-feature has different functions. Microstructures support mechanical strength, stability, and flexibility, while nanostructures realize main functionalities such as superhydrophobicity/-philicity, structural color, and selective filtration. Most of multiscale systems for desired applications are consisting of surface patterns and underlying substrates with different materials. Because discontinuous and delaminated interfaces hinder system robustness, tailoring the adhesion between the hierarchical structures and the substrates is an another design factor to be considered. Monolithic integration of 3D patterns into flexible and soft materials is ideal to preserve the structural functionalities under dynamic conditions such as substrate bending or stretching.', 'Most efforts to fabricate hierarchical patterns with length scales spanning several orders of magnitude (e.g., nm to μm) have relied on complex top-down processes such as multistep photolithography or imprinting. These tools, however, cannot easily manipulate characteristic features organizing structural hierarchies over large-areas (> cm2). Independent control over the feature size and order/disorder of nanostructures is crucial for modulating the mechanical, chemical, and optical properties of the surfaces. Strain-induced buckling of thin materials (or skin layers) on a soft base is an emerging alternative to realize ordered and disordered patterns in parallel. Although wrinkle wavelength is tunable at microscale, nanoscale control over wrinkle structures is challenging because of materials limitations on the skin; hence, designing 3D hierarchy via multiscale wrinkling has been limited. Recently, our group showed how skin layers can be monolithically formed on plasma-treated thermoplastics where nanowrinkles with tunable wavelength could resulted. Local and global feature disordering of nanostructures has been manipulated with this materials system by patterning strain in the skin layers.', 'In this dissertation, we focus on the structural designs of deformable thin materials using conformal buckling at the nanoscale where unusual surface functionalities occur. Chapter 2 discusses the general design principle of out-of-plane, three-dimensional (3D) hierarchical nanostructures via a memory-based, sequential nanowrinkling process. Chapter 3 covers the realization of the structural hierarchy in a fully monolithic system by high-fidelity pattern transfer. Chapter 4 focuses spatial control of in-plane hierarchical nanostructures consisting of multiscale wrinkles and crumples side-by-side, with an emphasis on graphene as a skin layer. In this chapter, we further explain both electrical and mechanical properties of textured graphene at local and global areas. Chapter 5-6 discuss post-buckling approaches for the formation of monolithic nanostructures to build-up functional systems in soft and hard thin materials. In more detail, Chapter 5 describes the surface modulation of as-fabricated monolithic nanoridges by plasma etching to realize programmably tunable wetting transitions. Chapter 6 introduces wrinkle nanolithography integrated with concurrent design to produce and optimize quasi-random photonic nanostructures for broadband light-trapping.']",1/1/2018,Materials Science and Engineering,Dissertation,None,no embargo,\etdadmin_upload_594217\Lee_northwestern_0163D_14234.pdf,,,,,,,
101,\etdadmin_upload_594449,Queueing Models for Service Systems with Dependencies,"(None, 'Chenguang', None, 'Wu')","Dependencies, Fluid Approximation, Pricing, Queueing Model, Service Systems",In Copyright,"[""One of the main drivers of complexity in a service system is the dependence between different random variables describing the system. For example, the queue lengths at different time points and the waiting times of different items (jobs, customers) in queue are strongly dependent. To reduce dependence-related complexities, it is customary to assume that the system primitives (such as the arrival processes, service times, patience of different customers, etc.) are independent from one another as well as from the systems dynamics and state. However, in many settings, dependencies across different primitive processes, or between a primitive process and the state of the system, should clearly hold. For example, it stands to reason, and has been shown empirically in call centers, hospitals and restaurants, that the service requirement of a customer may depend on that customer's patience or on the time that customer spends waiting in queue. A natural question to ask is then: To what extent do these types of dependencies impact the performance, control and optimal design of a service system? In this thesis, I aim to answer this question for fundamental queueing models."", ""I start by considering two relevant dependence structures in large service systems: In the first, customers' patience depends on their individual service requirement; in the second, the service requirement of each customer depends on that customer's delay in queue. Since either dependence structure renders exact analysis intractable, I employ a fluid approach to approximate the mean-field behavior of the stochastic queueing systems, which illustrates a first-order impact of both dependencies on the system's performance. Using a stationary analysis, I demonstrate a fundamental difference between the two dependencies in their stationary behavior for the corresponding fluid models. Despite this difference, surprisingly, a unified model can be developed to describe the two dependencies simultaneously, which is further used to characterize the relation between the two dependencies using the concept of equivalence class. Such relation yields important insights to the empirical identification of the dependence, which is otherwise very difficult given that any dataset of service systems is censored due to customer abandonment."", ""To manifest the role of pricing in efficiently exploiting the underlying system structure, I consider another type of dependence in service systems in which a customer's value for service depends on that customer's service requirement. In a queueing-game framework, I analyze the impact of such dependence on the service provider's revenue performance. I show that a positive dependence between the service value and the service requirement may hurt the provider's revenue if customers are charged the same price. In response to the positive dependence, I propose a novel service-based pricing scheme which prices a customer's service based on that customer's realized service time. I demonstrate that the positive dependence could be exploited under service-based pricing to generate more revenue compared to the case of no dependence.""]",1/1/2018,Industrial Engineering and Management Sciences,Dissertation,None,no embargo,\etdadmin_upload_594449\Wu_northwestern_0163D_14235.pdf,,,,,,,
102,\etdadmin_upload_594576,Two-Dimensional Raman - Two-Dimensional Electronic Spectroscopy: From Isolating Ground-State Vibrational Coherences to Exciton-Phonon Spectroscopy of Quantum Dots,"(None, 'William', 'Orin', 'Hutson')","Chemical Physics, Electronic-Vibrational Coupling, Nonlinear Optics, Photon-Echo Spectroscopy, Raman Spectroscopy, Six-Wave Mixing",In Copyright,"['Ultrafast, multi-dimensional coherent spectroscopy (MD-CS) has enabled scientists to probe fundamental aspects of chemical and photo-physical reactions on the nanosecond to femtosecond timescales. Using MD-CS, scientific contributions ranging from increased understanding of energy transfer in photosynthetic biological proteins to correlating the motion of electrons in semiconductors have been achieved. Concurrent with these (and many other) discoveries, the development of increased experimental sophistication and instrumental sensitivity allowed for information about these processes to be derived more rapidly and comprehensively, with the following goal always in mind: that no level of physical or dynamical understanding be obscured or ambiguous due to limitations of the apparatus. However, despite the tremendous gains in chemical knowledge and technical expertise, third-order MD-CS still suffers from spectral congestion and uncertain spectral assignment, especially as it concerns the convolution of electronic and vibrational degrees of freedom. The first part of this thesis is centered around the development and implementation of a novel fifth-order MD-CS technique, known as Gradient-Assisted Multi-dimensional Electronic-Raman Spectroscopy (GAMERS), designed specifically to address and alleviate the aforementioned problems. Due to the careful temporal ordering of resonant and non-resonant excitation pulses, this technique allows for vibrational coherences on the ground-state to be isolated from that of the excited-states. The viability of GAMERS is demonstrated on two laser dyes, IR-895 and IR-140.', 'In general, the more dimensions introduced into a MD-CS technique, the better the spectral resolution and discrimination, lending towards increased information being derived about the system under study. However, the price paid for increased dimensionality is exponentially increased data acquisition times, placing stress on apparatus stability and sample integrity, which, ultimately, inhibits practical implementation of higher order MD-CS techniques. The second part of this thesis deals with a methodological advancement of GAMERS, where non-uniform sampling based on the projection-slice theorem and the inverse Radon transform significantly increases the speed of signal acquisition. In addition, we demonstrate that this method, denoted PROjection-reconstruction GAMERS (PRO-GAMERS), as compared with uniform sampling, has superior sensitivity and does not significantly sacrifice frequency resolution. These advantages are a consequence of our non-uniform sampling method in general, and would apply to any high dimensionality MD-CS technique. We demonstrate the utility of PRO-GAMERS on Nile Blue A perchlorate.', 'Quantum Dots (QDs) have shown promise for a range of practical applications, due to the wide synthetic tunability of their absorption and emission spectra. Despite an array of synthetic and spectroscopic studies, a full understanding of the underlying electronic structure has been difficult to realize. To achieve this, it is not only necessary to separate homogeneous peak shapes from heterogeneous ones, but to also separate overlapping homogeneous features from each other, a feat that has only been realized under certain experimental conditions. In the last part of this thesis, we use GAMERS to study colloidal CdSe QDs at room temperature in solution, separating the signal across two dimensions involving excitonic transitions and one involving phonon energies. In effect, we not only demonstrate the ability of GAMERS to resolve the congested spectral peak shapes to the extent aforementioned, thereby approaching the single-particle linewidth, but we also collect statistics regarding the ensembles present within the sample, all done under sample conditions representative of those wherein QDs are applied practically (i.e., room temperature). This opens a space for novel scientific inquiries, as GAMERS unlocks the ability to grasp single-particle electronic structure for a wide variety of complex systems where room temperature dynamics are most relevant.']",1/1/2018,Chemistry,Dissertation,None,no embargo,\etdadmin_upload_594576\Hutson_northwestern_0163D_14236.pdf,,,,,,,
103,\etdadmin_upload_594671,Electrostatically Driven Transformation in Assembly of Charged Amphiphiles,"(None, 'Changrui', None, 'Gao')",Engineering,In Copyright,"['Self-assembly is an important process in biological system to build various bioactive structures from small amphiphilic molecules. The structural versatility of amphiphile self- assembly also provides a unique platform for the design of functional soft materials with controllable structural features. However, little is known about the correlation between external stimuli, intermolecular forces and the self-assembly structure, which is extremely significant for understanding the transformation of assembly structures in biological processes as well as the materials design. Intermolecular electrostatic interaction is one of the dominant forces for driving the self-assembly process. In this dissertation, different self-assembly system will be investigated and I will present how electrostatic interaction affects the self-assembly structures and properties. I will first demonstrate a modular series of C16Kn peptide amphiphiles where intermolecular electrostatic interaction and steric repulsion can be controlled by solution pH and size of the ionizble headgroup. A large diversity of self-assembly structures, ranging from spherical micelle to bilayer nanotube, can be observed through subtle changes in the electrostatic and steric repulsions. Moreover, C16K1 peptide bilayer membrane exhibits a structural transformation from planar bilayer ribbon to rolled-up cochleate structure when increasing the ionic strength, and the interlayer spacing in the cochleate structure is directly related to the solution Debye length. Theoretical studies on each step of the morphological transition successfully correlate the electrostatic interaction with the equilibrium structures of the membrane. Other than peptide amphiphile, thermodynamic phase behaviors of phospholipid bilayer membranes consisting of 3 binary lipid molecules are also studied. The gel-to-fluid phase transition temperatures of lipid bilayers with DMTAP (+1)/DMPC (0) and DMTAP (+1)/DMPS (-1) binary mixtures are measured to explore the contribution of intermolecular electrostatic attraction to stabilizing the gel-phase lipid bilayer membrane. In addition, 2-D lattices of lipid bilayers show “universal” thermal expansion behavior for all lipid binary mixtures, and the intermolecular spacing is also minimized as the intermolecular electrostatic attraction increases.']",1/1/2018,Materials Science and Engineering,Dissertation,None,no embargo,\etdadmin_upload_594671\Gao_northwestern_0163D_14237.pdf,,,,,,,
104,\etdadmin_upload_594999,Analysis of Electrochemical Performance and Degradation of Solid Oxide Fuel Cell Cathodes,"(None, 'Hongqian', None, 'Wang')","3D Reconstruction, Degradation Mechanism, Solid Oxide Fue Cell, Sr Surface Segregation",In Copyright,"['This dissertation presents research on solid oxide fuel cell (SOFC) cathodes. It specifically covers two main topics: the electrochemical performance of porous two-phase composite cathodes, and the degradation mechanisms of porous single-phase mixed conducting cathodes. Current-voltage measurement and electrochemical impedance spectroscopy were used extensively to evaluate the cell performance. The impact of microstructure on electrode resistance was studied by using focused ion beam-scanning electron microscopy (FIB-SEM), utilizing both two-dimensional (2D) and three-dimensional (3D) images. To investigate the mechanisms of electrode degradation during long-term operation, FIB-SEM 3D tomography was used to analyze the microstructural evolution, and a novel selective chemical etching method was developed to examine the surface compositional changes.', '\tDensification of Y0.16Zr0.92O2-δ (YSZ) electrolyte at a reduced temperature, 1250 °C, was achieved by utilizing Fe2O3 as sintering aid, allowing single-step co-firing fabrication of anode- and cathode-supported SOFCs consisting of (La0.8Sr0.2)0.98MnO3-δ (LSM)-YSZ cathodes, YSZ electrolytes, and Ni-YSZ anodes. The resultant LSM-YSZ cathode had higher polarization resistance than a cathode that was fired separately at an optimized temperature of 1175 °C. Analysis of FIB-SEM images showed that co-firing caused more sintering and coarsening than in the optimally-fired LSM-YSZ, reducing triple phase boundary (TPB) density. It was found that reducing the firing time slightly decreased cathode polarization resistance and increased cell power output. To compensate for the over-sintering of LSM-YSZ during co-firing, (Sm0.5Sr0.5)CoO3 (SSC) was infiltrated into LSM-YSZ cathodes in the cathode-supported SOFCs in order to enhance the TPB density. However, coarsening of the nano-scale SSC was observed during the preliminary life tests, leading to significant cell degradation. On the other hand, cathode-supported SOFCs allowed the use of thinner anodes, and hence exhibited high fuel utilization as well as high steam utilization when operating under electrolysis mode.', '\tThe study of degradation mechanisms was conducted on single-phase mixed conducting electrodes, La0.6Sr0.4Co0.2Fe0.8O3-δ (LSCF). Temperature-induced degradation was investigated on both LSCF symmetric-electrode cells and microtubular full cells consisting of LSCF cathodes. It was found by FIB-SEM 3D tomography that particle coarsening only occurred at sufficiently high temperatures, \uf0b3 950 °C. The performance degradation observed at temperatures < 950 °C was attributed to Sr segregation to particle surfaces, which inhibited the oxygen surface exchange process. A selective chemical etching method with inductively couple plasma-optical emission spectrometry (ICP-OES) detection was developed to quantitatively analyze the Sr surface segregation on the porous LSCF electrodes. This method was also found to be applicable to systems other than LSCF, such as quantifying Ba surface segregation in La0.5-XPrxBa0.5CoO3-δ (LPBC) cathodes. Additionally, degradation during reversing current operation was examined on LSCF symmetric-electrode cells. Results showed that the primary source of the degradation was also associated with Sr surface segregation, with a smaller contribution from current-induced coarsening.']",1/1/2018,Materials Science and Engineering,Dissertation,None,no embargo,\etdadmin_upload_594999\Wang_northwestern_0163D_14240.pdf,,,,,,,
105,\etdadmin_upload_595285,NORMALIZATION OF RNA DEGRADATION IN RNA-SEQ DATA,"(None, 'Bin', None, 'Xiong')","Degradation, Matrix factorization, Normalization, RNA-Seq",In Copyright,"['RNA-Sequencing (RNA-Seq) is a powerful high-throughput tool to profile transcriptional activities in cells. The observed read counts can be biased by various factors such that they do not accurately represent the true relative abundance of mRNA transcript abundance. Normalization is a critical step to ensure unbiased comparison of gene expression between samples or conditions. Here we show that the gene-specific heterogeneity of transcript degradation pattern across samples presents a common and major source of unwanted variation, and it may substantially bias the results in gene expression analysis. Most existing normalization approaches focused on global adjustment of systematic bias are ineffective to correct for this bias. We propose a novel method based on nonnegative matrix factorization with over-approximation constraints that allows quantification of RNA degradation of each gene within each sample. The estimated degradation index scores are used to build a pipeline named DegNorm (stands for degradation normalization) to adjust read count for RNA degradation heterogeneity on a gene-by-gene basis while simultaneously controlling sequencing depth. The robust and effective performance of this method is demonstrated in an extensive set of real RNA-Seq data and simulated data.']",1/1/2018,Statistics,Dissertation,None,no embargo,\etdadmin_upload_595285\Xiong_northwestern_0163D_14241.pdf,,,,,,,
106,\etdadmin_upload_595554,Behavior  Centric  Fault  Tolerant  Caches  to  Enable  Near-Threshold  Voltage,"(None, 'Chao', None, 'Yan')",Computer engineering,In Copyright,"['Voltage scaling is one of the most effective techniques to provide power savings on a chipwide', 'basis. However, reducing supply voltage in the presence of process variation introduces', 'significant reliability challenges for large SRAM arrays. The rapid decrease in SRAM reliability', 'at low voltages determines a minimum operating voltage (Vccmin). This places a floor on the', 'power consumption of the entire processor. Therefore, processors must either stay at high', 'voltages where the low defect densities are tolerable or work at low voltages with existing', 'fault tolerance schemes. In the latter case, processors could obtain significant energy reduction', 'from the aggressive voltage scaling. However, the increase in the L1 latency or the decrease', 'in the last-level cache (LLC) capacity may have a detrimental impact on both performance', 'and energy consumption. In order to promote voltage scaling to a near-threshold region and', 'achieve more significant energy savings, we propose to match the fault tolerance techniques to', 'the predominate nature of the cache accesses. In this dissertation, we describe three work which', 'fit under the general approaches: (1) For delay sensitive L1 caches, we propose techniques', 'for L1 instruction/data caches to enable deep voltage scaling without compromising the L1 ', 'cache latency. For the data cache, we employ fault-free windows to adaptively hold the likely accessed ', 'data using the fault-free words within each cache line. For the instruction cache, we', 'avoid the addresses that map to defective words by relocating basic blocks. During high voltage', 'operation, both L1 caches have full capability to support high-performance. (2) For capacity', 'sensitive last level caches (LLC), we propose synergistic cache compression and error correction', '(Cocoa) to enable near-threshold voltage scaling without compromising the LLC capacity. We', 'apply compression to LLCs to harvest additional capacity to store ECC check bits. In addition,', 'we introduce a new ECC scheme to minimize the space overhead of ECC. In particular, we', 'employ variable strength ECC on a per-segment basis. In the common case, segments with', 'zero or one bit failures are protected by weak ECC. Few segments with multi-bit failures are', 'protected by strong ECC. (3) For large distributed caches, we propose a multi-configuration', 'approach to reclaim the benefits of voltage scaling for multi-threaded workloads. In particular,', 'we distinguish the threads based on their performance criticality. For minority dirty blocks from', 'the performance critical threads (PCT), we store them in a small reliable cache partition which is', 'supplied with nominal voltages. While the remaining cache blocks which are less critical to both', 'reliability and performance are either evicted to memory or stored in a large unreliable cache', 'partition which is supplied with low voltages. The detected faults in the unreliable partition are', 'recovered using the natural redundancies across the memory hierarchy. The boundary between', 'reliable/unreliable partition is dynamically adjusted to suitably match the corrective power to', 'the requirements of individual threads.']",1/1/2018,Computer Engineering,Dissertation,"code: 1, date: 10/03/2019",Private,\etdadmin_upload_595554\Yan_northwestern_0163D_14242.pdf,,,,,,,
107,\etdadmin_upload_596198,"Reason of State and the Politics of Botero, Campanella, and Sarpi in the Waning of the Renaissance","(None, 'Alexandra', 'Courtney', 'Thomas')","Church and State, early modern, idea of the state, late renaissance, Ottoman Empire, reason of state",In Copyright,"['Reason of State and the Politics of Botero, Campanella, and Sarpi ', 'in the Waning of the Renaissance', 'Alexandra Courtney Thomas', '\tThis dissertation asks how the political thought of three Italian Catholics, all members of religious orders – Giovanni Botero, Tommaso Campanella, and Paolo Sarpi – fits into the intellectual history of Europe during the Counter Reformation. This is the time period that William Bouwsma labeled “the waning of the Renaissance,” when the freedoms that the Renaissance engendered began to create anxiety and expose rifts in a society searching for order in turbulent times. This project draws on the published writings and personal letters of the three thinkers, covering a span of years from roughly 1589 to 1617. ', '\t“Reason of State and the Politics of Botero, Campanella, and Sarpi in the Waning of the Renaissance” argues that all three thinkers focused on questions of Church and State, morality in politics, and what was the most dangerous external threat facing Europe at the turn of the seventeenth century. They all grappled with the idea of “reason of state,” or ragion di stato, a system of practical politics that Botero first made famous. Reason of state was essentially a Catholicized version of Machiavelli’s politics, and it became the political norm for most of the seventeenth century due to Botero’s work. All three men sought to rework the art of politics with the understanding that they were in Machiavelli’s shadow. The answers that Botero, Campanella, and Sarpi provided to questions of reason of state ranged from support for Church and State; sole support of a universal Catholic empire; sole support for complete state autonomy in secular affairs; the idea that Catholic morality was or was not possible in politics; and the grave threat of the Ottoman Empire and the threats to Venice from the papacy and Habsburg Spain. ', '         The systems of politics described by Botero, Campanella, and Sarpi were in many ways ultimately defined by what they believed was encroaching from the outside, threatening ruin and chaos. All three thinkers felt that the way forward for Italy, Europe, and Christendom required significant alterations in the political conduct of states. Through debates on particularism – the idea that the world should be structured as a concert of multiple state entities – and universalism – the idea that the world was better off as one universal empire ruled by the Catholic Church – the political thought of three of the most prominent political theorists of the late Renaissance era reveals a deep focus in the late-sixteenth and early-seventeenth century on establishing internal control in order to turn outward, defeat an external threat, and enact significant change in the world.']",1/1/2018,History,Dissertation,None,no embargo,\etdadmin_upload_596198\Thomas_northwestern_0163D_14244.pdf,,,,,,,
