,Title,"Creator (suffix, fname, middle, surname)",Keyword,Rights,Abstract,Date Created,Subject,Resource Type,Restrictions,Embargo Dates,PDF Files
38,Pathways to Military Effectiveness:  Armies and Contemporary African States,"(None, 'Jahara', None, 'Matisek')","Civil Military Relations, Civil Wars, Coups, Military Effectiveness, State-Building, Weak States",In Copyright,"['How do weak states build and maintain strong militaries that do not pose a threat? A government that presides over an institutionally weak state might reasonably fear that an effective army would be tempted to engage in coup d’état. Yet several countries in Africa with low overall institutional capacity sustain armies with substantial material and organizational capabilities. Four countries meet these criteria and provide case studies for this research: Senegal, Uganda, Rwanda, and Ethiopia.', 'This study identifies the mainsprings of a sustainable weak state – strong army outcome in a combination of appropriate political strategies on the parts of state leaders that includes a willingness to repurpose informal “customary” social practices and institutions to compensate for weak bureaucratic structures of control. Coalitions of leaders inside and outside the military also collaborate in the deployment of armies to tasks that are not conventionally associated with militaries. Those that are successful in executing strategies enable the creation of ‘military enclaves’ where informal institutions and practices commonly associated with ineffective militaries in fact contribute to military effectiveness of that military. These findings point to a need for a new conceptualization of professionalism based on what type of military has emerged in a given state. Beyond conventional categories of political and apolitical armies, the particular nature of African politics and warfare has led to the existence of personalist armies. Personalized militaries exhibit their own traits – to include their own contextually dependent ideas about professionalism and military effectiveness. I argue that we need a model of institutional military effectiveness to establish the sort of civil-military relations that result in five different types of military outcomes: Ineffective, Resourceful, Parochial, Hollow, and Effective.', 'The capacity of weak states to build effective militaries in Africa indicates an alternative pathway for African state-building in a regional context in which interstate warfare is rare, foreign patrons provide selective security benefits, and leaders face apparent domestic incentives to keep armies weak. My conclusions are drawn from interviews conducted at the Pentagon (Washington, D.C.) and U.S. Africa Command (Stuttgart, Germany), and fieldwork in Senegal, Uganda, Rwanda, and Ethiopia.']",01/01/2018,Political Science,Dissertation,"code: 1, date: 12/22/2018",Private,Matisek_northwestern_0163D_14110.pdf
39,Looking Good: Race and Cosmetic Surgery in Transnational Perspective,"(None, 'Alka', 'Vaid', 'Menon')","Asian, Cosmetic surgery, Ethnicity, Gender, Medical sociology, Race",In Copyright,"['This dissertation uses global cosmetic surgery to examine constructions of race, focusing especially on two multiethnic countries: the U.S. and Malaysia. The U.S. is the largest cosmetic surgery market and has historically been a center for cosmetic surgery training and technique, and Malaysia is a rapidly growing Southeast Asian country with a burgeoning domestic and cosmetic surgery tourist market. Adopting insights from gender studies, ethnic studies, and science and technology studies, I draw on these cases to argue that race and ethnicity take on particular salience in consumerist medicine as biological and sociocultural entities. In contrast to a prevalent concern in the sociology of science with the rebiologization of race in contemporary science and biomedicine, my work demonstrates that physicians continue to link race and culture. ', 'Analyzing cosmetic surgery as a transnational profession straddling medicine and the market, this dissertation shows how cosmetic surgeons draw upon cultural explanations for racial and ethnic difference in constructing standards for physical appearance. Acknowledging that race and gender are socially constructed facilitates cosmetic surgeons’ success in the transnational surgery market. To provide this analysis, the dissertation incorporates over 90 interviews with cosmetic surgeons, patients, and medical device vendors in the U.S. and Asia, as well as observations of cosmetic surgeons’ interactions with patients, observations of international cosmetic surgery meetings, and analyses of the content of cosmetic surgery procedural guides and patients’ online reviews. ', 'This work highlights the role of cosmetic surgeons as gatekeepers in defining possible interventions with respect to race, exploring the tension in cosmetic surgery between art and science, clinical judgment and standardization. Expansive and ambiguous definitions of racial and panethnic categories at different levels of practice—in the surgeons’ own biographies, in the clinic, in the nation, and in the transnational literature on cosmetic surgery—promote their spread and use. Such definitions lead to the racialization of physical bodies as well as surgical techniques, materials, and aesthetics. While cosmetic surgeons have made some effort to standardize practice through the development of ethnic-specific guidelines, this standardization is not totalizing. Rather, the use of race in cosmetic surgery showcases and depends upon the clinical judgment of individual cosmetic surgeons. Surgeons offer their own clinical experience accrued in distinct local contexts as an asset that differentiates them from their competitors. In addition, the cataloguing of racial difference promotes and justifies the proliferation of clinical practice variation in cosmetic surgery. ', 'This dissertation highlights the cultural production and valuation of different kinds of “ethnic” looks. In particular, the assertion of panethnic categories, like an “Asian” ideal, aligns cosmetic surgeons with distinct medical, cultural, and scientific trajectories, even as surgeons acknowledge significant heterogeneity within such categories. By including a focus on Malaysia alongside the U.S., this work shows how ostensibly universal, transnational notions of race in medicine manifest in distinct religious, economic, and cultural contexts. Rather than a story of the universal privileging of a “white” appearance, I trace the larger nationalist and regionalist dynamics at work in contemporary linkages of race and beauty in cosmetic surgery.']",01/01/2018,Sociology,Dissertation,"code: 1, date: 06/22/2020",Private,Menon_northwestern_0163D_14086.pdf
40,Moving Archives and Choreographic Afterlives: Legacy Practice in American Postmodern Dance,"(None, 'Elliot', 'Gordon', 'Mercer')","Conceptual Art, Minimalism, Postmodernism",In Copyright,"['Through an engagement with the work of American postmodern choreographers Anna Halprin, Yvonne Rainer, and Laura Dean, I expose choreographic legacy as an ongoing process of continually rewriting dance history. Halprin, Rainer, and Dean’s models for choreographic transmission draw from the legacy methods of repertoire, reconstruction, and reperformance, while simultaneously proposing a new methodology that intentionally foregrounds the experience of loss and actively exposes historical layering. Anna Halprin’s use of dance scoring in the development and evolution of ""Parades and Changes"" (1965) presents a model for repurposing existing creative material in the creation of new performance works, a process of choreographic spolia that exposes Halprin’s aesthetic, philosophical, and cultural intentions in each instance of the dance’s reiteration. Similarly working to continuously recontextualize her work, Yvonne Rainer has variously employed and deployed her 1966 work ""Trio A"" as a choreographic fraction or insertable in her composite works and lecture-demonstrations, creating reflexive juxtapositions that elucidate her career intentions of challenging spectatorship. Rather than carrying her dance works into the future, Laura Dean draws from Tibetan Buddhist philosophy to advance a notion of dance as something to eventually be let go, actively foreclosing the possibility of restaging her work following her choice to authorially disengage from the process of choreographic transmission. Through the creative use of new notational practices, experimental processes for structuring performance, and strategies for archive formation, Halprin, Rainer, and Dean expose how the particularities of the present always inflect and inform the ongoingness of dance practice, thus ever reshaping our experience and embodiment of dance history. In addition to archival research, performance analysis, and interviews with the three subjects of this study, in this project I engage my own body as an investigative tool, myself participating in the dance work of Halprin and Rainer. I locate my own positionality within the history of these choreographers’ work, recognizing the ways my subjectivity contributes to the articulation and mobilization of choreographic legacy.']",01/01/2018,Theatre and Drama,Dissertation,None,no embargo,Mercer_northwestern_0163D_14127.pdf
41,Characterizing Pathways for Joining STEM in College and Beyond,"(None, 'David', 'Isaac', 'Miller')",Psychology,In Copyright,"['Students often change majors during college, and most workers change jobs throughout their careers. Yet the diverse opportunities for entering natural science, technology, engineering, and mathematics (STEM) fields are often overlooked during college and beyond. This dissertation therefore analyzed four large nationally representative datasets to characterize the pathways for joining STEM among college students and workers from non-STEM backgrounds. ', 'My theoretical framework contrasts sharply with the popular “leaky pipeline” metaphor, which has often pervaded debates about STEM talent in the United States. Since the 1980s, this metaphor has focused attention on plugging “leaks” in the pipeline (i.e., increasing STEM persistence) but away from more comprehensive strategies for addressing workforce needs. I argue that educators, employers, and policymakers should instead think of a network of pathways along which students and workers can take different routes to STEM competence. This pathways metaphor provides novel ways for thinking about developing STEM talent. For instance, late entry points into STEM offer new opportunities for recruiting women, especially given the large pool of women who start college as a non-STEM major and graduate with non-STEM degrees.', 'Across two studies, my dissertation studied pathways for joining STEM in the transitions from (a) beginning of college to graduation and (b) college graduation to the workforce. Nearly one fifth of STEM graduates started college as a non-STEM major, and one fifth of college-educated STEM workers had no bachelor’s degree or higher in any STEM field. Analyses described joiners’ educational history and job characteristics, identified predictors of STEM joining, and estimated the national impact of further widening joining pathways.', 'Study 1 found that joiners had similar high school STEM preparation compared to so-called “leaks” in the STEM pipeline (i.e., students who went from STEM to non-STEM majors) but had weaker preparation than persisters (i.e., STEM graduates who started college in STEM). Nevertheless, compared to persisters, joiners achieved similar undergraduate success in terms of STEM course grades and rates of graduating college on time (i.e., within four years). Grades in introductory STEM courses strongly predicted STEM attrition but not STEM joining, indicating asymmetric pathways for leaving versus joining STEM. In contrast to grades, taking STEM courses early in college strongly predicted later earning of STEM bachelor’s degrees among initial non-STEM majors, even after controlling for many theoretically relevant covariates. Impact analyses also found that, compared to “plugging the leaky pipeline” for female STEM majors, closing gender gaps in STEM joining would more potently increase women’s representation among STEM graduates.', 'Study 2 studied pathways for joining the computing and engineering workforce among non-STEM college graduates. Results suggested that joiners used their non-STEM educational training by working on non-STEM job tasks such as finance and management at higher rates than persisters. Overall, pathways were far more open for joining the computing than engineering workforce. Careers in both these fields appeared to be unattractive to non-STEM graduates who valued benefitting society, consistent with common perceptions that STEM jobs lack career opportunities to help others. Impact analyses found that an additional 820,000 college graduates would have been computer scientists in 2015 if communally oriented workers had joined computing as often as other non-STEM graduates. Most of these additional computer scientists would have been women.', 'These results suggest new strategies for broadening participation in STEM. Based on Study 1, postsecondary educators and policymakers should evaluate how to facilitate STEM joining pathways by increasing the quality and quantity of STEM courses that non-STEM majors take early in college. Based on Study 2, employers should consider how to communicate to potential applicants, especially non-STEM graduates, that STEM careers offer ways to help others.']",01/01/2018,Psychology,Dissertation,"code: 1, date: 06/22/2020",Private,Miller_northwestern_0163D_14106.pdf
42,Legal Mobilization in Medicine: Seeking Rights to Justice and Rights to Healthcare for Survivors of Sexual Violence Globally since the 1970s,"(None, 'Jaimie', None, 'Morse')","humanitarian medicine, mass rape, nursing, rape kit, sexual assault medical forensic exam, standards",In Copyright,"['This dissertation traces the historical emergence and transnational uptake of the sexual assault medical forensic exam or SAMFE (commonly known as a “rape kit”) as a tool of anti-rape advocacy in emergency medicine since the 1970s and more recent attempts to adapt it for use with refugees and internally displaced persons. Bringing together approaches in medical sociology, socio-legal studies, cultural sociology, and science and technology studies, I analyze the SAMFE as a hybrid medico-legal object that joins law and medicine as a novel form of medical action. I draw on the method of “process tracing” to chart an historical sequence of events to explain a particular outcome: the joining of clinical medicine and criminal law in the SAMFE for the purposes of institutional reform and its effects in domestic and transnational contexts. I first examine reform initiatives led by early forensic nurses in the United States to combine specialized medical care and forensic evidence collection as a new standard of care. Their efforts suggest meso-level processes of legal mobilization in medicine to seek rights to healthcare and rights to justice for patient-victims through new medical routines. I use citation patterns to demonstrate the influence of U.S. forensic nursing models on international guidelines. I then follow these models into a contemporary global initiative to facilitate prosecution of rape as a war crime. After connecting the domestic and humanitarian contexts through the transnational trajectory of the exam, I then, analytically, separate them in order to compare and contrast the impacts and ethical concerns that arise in each context. Combining archival research, fieldwork at international meetings, and over 40 in-depth interviews of healthcare practitioners, activists, lawyers, and other experts, I argue that medical evidence collection techniques help to define what they purport to measure, thereby having profound symbolic and material effects on the credibility of victims’ narratives, which crimes are deemed justiciable, and ultimately how events come to be remembered. The case demonstrates how the interweaving of medicine and law gives rise to new forms of institutional hybridity, emergent practices, and methods of knowledge production that fundamentally reshape the patient-provider encounter.']",01/01/2018,Sociology,Dissertation,"code: 1, date: 06/22/2020",Private,Morse_northwestern_0163D_14098.pdf
43,The Enclosed Renaissance:  Intellectual and Spiritual Learning in Early Modern Venetian Convents,"(None, 'Charlotte', 'Cover', 'Moy')","convents, early modern Venice, feminism, Italy, nuns, women's education",In Copyright,"['Convent education was financially accessible to many girls whose families could not afford a private tutor and nuns were the largest group of educated, culturally-active women in pre-modern Europe. Convent education mirrored the general contours of humanist education by associating learning with morality, serving the purposes of the Venetian republic, and providing an education relevant to the class and social positions of the students. But convent education also differed in fundamental ways from other sources of education because it allowed lifelong intellectual exploration within a community of women. Convents valued reading and writing as ways to develop the intellect and the spirit simultaneously, while also sometimes allowing creative expression through theater. As a result, women could pursue intellectual enrichment throughout their lives and some used the opportunity to advance feminist arguments. Former convent students, both nuns and married women, used their knowledge to educate other women, argue for the spiritual and intellectual equality of women, and correspond with prominent thinkers of the time.']",01/01/2018,History,Dissertation,None,no embargo,Moy_northwestern_0163D_14081.pdf
44,Understanding Supported Copper Oxide Catalysts for Cyclohexane Oxidative Dehydrogenation,"(None, 'Scott', None, 'Nauert')","Copper, Heterogeneous Catalysis, Kinetics, Oxidative Dehydrogenation, Spectroscopy, Supported Catalyst",In Copyright,"['Supported metal oxides are an important class of heterogeneous catalysts active for many selective oxidation reactions including alkane oxidative dehydrogenation.  Attempts to develop fundamental structure-function relationships for supported metal oxide catalysts for alkane oxidative dehydrogenation have been challenging, with many conflicting reports in literature.  This has been in part due to the use of propane oxidation which, though industrially relevant, poses several challenges for gaining fundamental insights of oxidation pathways.  This dissertation seeks to develop a more fundamental understanding of how structural and electronic properties of supported copper oxide catalysts impact oxidation kinetics by oxidative dehydrogenation (ODH) and non-ODH pathways by utilizing cyclohexane as a model alkane for study. ', 'The first part of this thesis introduces supported copper oxide as an active alkane ODH catalyst and explores the sensitivity of cyclohexane reactivity to supported copper oxide catalyst design variables such as copper precursor, copper surface density, and the presence of alkali.  Characterization by UV-visible and x-ray absorption spectroscopies shows that copper oxide structure is a strong function of copper surface density and a weaker function of copper precursor.  The copper oxide structure has a modest impact on cyclohexane ODH activity, but it has no impact on the relative rates of aliphatic and allylic C—H bond activation.  By contrast, changing the electronic structure of the active metal oxide phase by addition of alkali or using vanadium instead of copper has a large impact on cyclohexane ODH selectivity.  Furthermore, this work identifies a previously unreported spectroscopic feature of Cu(I)/SiO2 catalysts at low copper loadings which is correlated with high catalytic activity.', 'The remainder of this thesis focuses on developing fundamental relationships between copper oxide structure, electronic properties, and the resulting cyclohexane reactivity.  Spectroscopic characterization of CuOx/SiO2 catalysts varying in average copper oxide domain size shows that intrinsic Cu(II)/Cu(I) redox activity increases as copper oxide domain size decreases which results in an increase in the intrinsic activity of copper oxide sites for cyclohexane oxidative dehydrogenation.  Moreover, a distinct, highly active copper site is identified and fully characterized by a combination of in-situ UV-visible, x-ray absorption, and resonant Raman studies combined with modeling by density functional theory.  All constraints imposed by these techniques identify this unique site as a mono(μ-oxo) Cu(II) dimer with copper situated in highly strained siloxane defect sites present in dehydroxylated silica which has implications for reactions beyond alkane oxidative dehydrogenation.  Next, the underlying cause of support effects in alkane oxidative dehydrogenation is explored.  We provide evidence that charge transfer between the support and copper oxide impacts the rates of C—H bond abstraction and COx formation pathways in the oxidative dehydrogenation of cyclohexane over supported copper oxide catalysts.  We experimentally relate the support surface Lewis acid strength, determined by alizarin dye adsorption studies, to changes in copper oxide valence electron density for nine supported copper oxide catalysts.  Model cyclohexane ODH reaction studies then systematically relate these changes in copper electronic structure with changes in the relative rates of aliphatic C—H bond abstraction, allylic C—H bond abstraction, and combustion by routes in which C—H bond activation is not kinetically relevant.  The structure-function relationships determined for supported copper oxide catalysts have important implications for rational design of supported metal oxide catalysts for alkane oxidative dehydrogenation.']",01/01/2018,Chemical and Biological Engineering,Dissertation,None,no embargo,Nauert_northwestern_0163D_14131.pdf
45,Rapid Analysis and Planning Tools for Flexible Manufacturing Processes in a Cyber-Physical Setting,"(None, 'Ebot', None, 'Ndip-Agbor')","Additive Manufacturing, Cyber-Physical Systems, Flexible Manufacturing, Incremental Forming",In Copyright,"['There has been a revolution in the manufacturing industry over the past few decades', 'spurred by the emergence of flexible manufacturing processes such as Incremental Forming', '(IF) and Additive Manufacturing (AM). These processes allow manufacturers to make a', 'huge array of parts with various complex geometries and materials directly from 3D CAD', 'models without the need of geometry specific tooling. These flexible processes make', 'it possible to make one-of-a-kind or low volume metallic parts for aerospace and defense', 'applications, tooling for mass-production, and rapid prototyping for patient-specific parts.', 'This has led to the emergence of multi-billion dollar industries for 3D printing and low-', 'volume production of metal parts. These flexible manufacturing processes provide exciting', 'and promising means for high value-added manufacturing.', 'With the advent of Cyber-Physical Systems (CPS), the importance of flexible man-', 'ufacturing processes has become more and more apparent. Under the CPS umbrella,', 'the versatility of 3D geometry input to flexible manufacturing processes really starts to', 'shine. It creates a unique opportunity to decouple the various parts of the manufacturing', 'workflow, i.e., toolpath generation, numerical modeling, process parameter optimization,', 'and final part manufacture. Such a system provides an opportunity for optimization the', 'like of which has not been possible with traditional systems.', 'Rapid analysis tool must be formulated to adapt flexible manufacturing tools to CPS.', 'Specifically, the flexibility of the inputs in these processes makes process planning and', 'numerical simulation very challenges. The complexity of the input 3D geometry makes', 'generic toolpath planning very difficult. The same input geometry results in vastly differ-', 'ent toolpath strategies for different process parameters in flexible manufacturing process;', 'therefore, a generic framework for performing toolpath planning to facilitate control of', 'process parameters across flexible manufacturing processes must be developed. Addi-', 'tionally, the cost accrued from performing experimental analysis, to guarantee that the', 'manufactured part meets performance metrics, must be mitigated using simulation analy-', 'sis. Detail meso-scale simulations are needed to capture the underlying physics in flexible', 'manufacturing processes, but currently the runtime of these simulation is an order of', 'magnitude higher than physical experiments. This also necessitates rapid analysis tools', 'to incorporate the physics into process planning using for fast analysis on next-generation', 'architectures.', 'This dissertation provides concrete advances in in the formulation of rapid manufac-', 'turing tools for flexible manufacturing processes: automated toolpath generation, auto-', 'mated manufacturing strategies, acceleration of numerical simulation, process parameter', 'optimization, and foundations for process sequence selection.. First, a flexible toolpath', 'generation method was developed which is capable of tracking geometric features in a', 'CAD model using Z-height based slicing. These features are stored in hierarchical data', 'structures which allow forming strategies to be developed for flexible manufacturing pro-', 'cesses automatically using traversal algorithms. Different toolpath strategies were suc-', 'cessfully generated and tested for Double-Sided Incremental Forming (DSIF) using this', 'methodology. Also, as part of the formulation of rapid analysis tools at the level of the', 'individual process, a generic strategy for performing autonomous MSPIF was developed', 'which eliminates the need for manual multi-step toolpath strategies. An analytical frame-', 'work for tracking the formed geometry and Rigid Body Motion (RBM) during Multi-pass', 'Single Point Incremental Forming (MSPIF) was also developed which can be extended to', 'other deformation based manufacturing processes. Both the automated strategy and the', 'analytical framework were tested and yielded favorable results. Additionally, a one of a', 'kind framework for accelerating explicit Finite Element (FE) simulations was also devel-', 'oped to embed the physics of the manufacturing processes into the rapid analysis. This', 'framework utilizes algorithms and data structures to run explicit solvers on Graphical', 'Processing Unit (GPU)s which led to drastic speedups in flexible manufacturing process', 'simulations. Several examples were run using the AM process to demonstrate the effec-', 'tiveness of the methodology. Likewise, optimization of process parameter is also at the', 'heart of integrating flexible manufacturing process to CPS; therefore, a new methodology', 'based on a Gaussian Process Model (GPM) was developed to optimize process parameters', 'in flexible manufacturing processes. This was achieved by correcting the bias in a sim-', 'plified simulation model of the process using experimental data or a high-fidelity model.', 'This methodology has a profound implication on the cost and speed of process parameter', 'optimization in CPS by limiting the number of full-scale simulations and experiments that', 'need to be performed. Finally, a conceptual framework was presented for performing pro-', 'cess selection in CPS given user constraints on geometry or quality of the manufacturing', 'part and a list of processes available in the CPS along with their capabilities.', 'The above advances push the status quo closer to the vision of having ubiquitous', 'manufacturing systems that allow seamless and effortless interactions between users and', 'machines without the need for a third party. The algorithms and fundamental data struc-', 'tures developed have applications which extend far beyond the examples presented. They', 'can be thought of as scaffoldiing that can be used to bootstrap even higher abstractions', 'for implementations of CPS.']",01/01/2018,Mechanical Engineering,Dissertation,"code: 1, date: 06/22/2020",Private,NdipAgbor_northwestern_0163D_14073.pdf
46,Partnering with the Public: The Pursuit of ‘Audience Engagement’ in Journalism,"(None, 'Jacob', 'Lewis', 'Nelson')","audience engagement, ethnography, journalism, news audiences, news production",In Copyright,"['Journalism professionals and researchers have recently argued that newsrooms adopt “audience engagement” as one of their chief pursuits. This term has many interpretations that stem from one underlying belief: journalists better serve their audiences when they explicitly focus on how their audiences interact with and respond to the news in the first place. Yet those who hope to make audience engagement normative must overcome news industry confusion surrounding how engagement itself should be defined and measured. Their efforts therefore present an opportunity to learn how journalism is changing, who within the field has the power to change it, and why they believe it should change. This dissertation investigates two such efforts with ethnographic case studies of Hearken and City Bureau, organizations that aspire to make the audience a larger part of the news production process. An additional case study of The Chicago Tribune reveals how audience engagement advocates and legacy journalists differ in their assumptions about journalism and the public, and how they act on those differences. Although the staff of all three sites acknowledge that the news audience avoids political news, Tribune employees attribute this avoidance to a lack of audience interest, while those at City Bureau and Hearken attribute it to a lack of audience trust. This leads the Tribune to approach the news audience one way, and City Bureau and Hearken another. Drawing on Giddens’ structuration theory, I argue that the Tribune reproduces traditional notions of journalistic practice, while Hearken and City Bureau attempt to transform them. However, their attempts are constrained by the news industry’s structure for monitoring and responding to the marketplace – its market information regime – which privileges measures of audience size rather than audience engagement. As a result, Hearken and City Bureau are unable to quantify the value of audience engagement to other journalism stakeholders. Instead, they rely on appeals to intuition. Their initial success suggests that that many in journalism innately believe the profession should improve its relationship with the audience. More importantly, it shows that the gut feelings of individual agents can prove more powerful than the structures constraining them, at least during periods of institutional uncertainty. This dissertation therefore illustrates what the future of journalism might look like should an audience-focused approach to news production become the norm, and exposes the obstacles that may prevent such a transformation from occurring.']",01/01/2018,"Media, Technology and Society",Dissertation,None,no embargo,Nelson_northwestern_0163D_14114.pdf
47,"Structure, Diversity, and Function of Ectomycorrhizal Fungal Communities in Native and Introduced Pines of South China","(None, 'Chen', None, 'Ning')","ectomycorrhiza, enzyme, exotic tree, forest soil, fungal community, pinus",In Copyright,"['Ectomycorrhizal (ECM) fungi are a group of cosmopolitan symbiotic soil fungi that colonize the fine roots of tree species and play an essential role in plant nutrition and ecosystem function. In worldwide afforestation projects, the establishment of introduced trees in novel habitats has been shown to require ECM fungal associations. The process for these introduced trees to establish is complicated by evolutionary host-partner specificity and nutrient allocation strategies. In each experiment of this dissertation, colonization of native Pinus massoniana (MP) and introduced Pinus elliottii (SP) by ECM fungi was used along with morphological and molecular sampling methods to measure ECM community characteristics.', 'Chapter I investigates which sampling scenarios would best resolve and describe the ECM fungal communities using high throughput sequencing (HTS). The results indicated a) analyzing a ‘mock’ community of known taxa with HTS was important for determining operational taxonomic unit (OTU) clustering and setting OTU low abundance read filtering; b) sampling protocols (replications, etc.) could optimize the recovery of OTU richness, but the documentation of the effect on beta-diversity by prior effects (e.g. forest types of different hosts) was not influenced; and c) different sampling resources (in-growth bag vs. root tips) of ECM fungi revealed significant difference in recovered ECM fungal communities by HTS. ', 'In Chapter II, I examined ECM fungal communities and soil physio-chemical properties of both MP and SP forest across broad geographic ranges of south China. This field investigation showed that large-scale geographic processes and edaphic condition set the regional species pool, whereas host specificity defined abundance and composition of ECM fungal species associated with native or introduced hosts at local scales. ', 'For Chapter III, I monitored the ECM fungal community succession on native and introduced pine seedlings through a reciprocal bioassay experiment, which incorporated the combinations of different soil environment and ECM fungal inoculum resources. I found that the early establishment of ECM fungi was differentiated by host seedling identity. This pattern was further elucidated in Chapter IV where ECM fungi communities associated with native MP versus introduced SP seedlings displayed different exoenyzme functions, and those functional groups highly correlated with host identity and nutrient status. ECM fungi were also important for co-adaptation of host trees grown in the local soil compared with those grown in novel combinations. This research suggests that host identity, especially of introduced tree species, should be addressed in woodland restoration projects, and that more work is necessary to determine how best to restore ECM communities and the nutrient cycling patterns in local ecosystems.']",01/01/2018,Plant Biology and Conversation,Dissertation,None,no embargo,Ning_northwestern_0163D_14079.pdf
48,Three Essays in Applied Microeconomics,"(None, 'Sam', None, 'Norris')",Economics,In Copyright,"[""I study three topics in applied microeconomics. My first chapter concerns the effect of daily school start times on academic achievement in Florida. Exploiting the sharp discontinuity in school start time relative to sunrise, I track children who move between schools on either side of the time zone boundary in Florida. Consistent with children's sleep schedules becoming later after entering puberty, I find that the benefits of later start times are concentrated among girls older than 12, and boys older than 10. I conclude that reordering start times so that elementary students started first, then middle school students followed by high school students would increase math achievement for high schoolers by 0.064 standard deviations and reading scores by 0.044 standard deviations without negatively impacting younger students or affecting the overall distribution of start times in each district."", ""My second chapter studies how to measure the quality of \\textit{categorization} workers --- judges, doctors, patent and benefits examiners --- who's job is to decide whether a case fits a given criteria. I call examiners who can perfectly rank cases according to their colleagues' understanding of the standard \\textit{consistent}, and show that in institutional settings where different examiners study the same case consistency is identified. This chapter has implications for the fundamental fairness of the justice system, by estimating the extent to which defendants sentences depend on the identity of the judge who makes the decision. It is also relevant for understanding potential biases in examiner-assignment instrumental variables research designs, which have become increasingly popular in economics over the past several years. I show that my method can quantify the extent to which the monotonicity assumption is violated, and the implications for estimating treatment effects. Using a sample of Canadian refugee judges, I find evidence of widespread differences in judges in how they rank claimants. Judges with the same overall approval rate disagree on the correct decision about 13\\% of the time, roughly halfway between being perfectly consistent, and flipping coins to make decisions. I find little evidence that this will induce very much bias in treatment effect estimates using examiner assignment designs, but find that marginal treatment effect estimates may be very biased."", ""Finally, my third chapter studies the effect of incarceration on the children of the incarcerated. Previous, correlational research has shown that the children of incarcerated individuals are very often incarcerated themselves. This may reflect either selection --- the children of the incarcerated are coming from a disadvantaged background in many ways that are observable and unobservable to the researcher --- or treatment --- parental incarceration actually \\textit{affects} child outcomes --- but pre-existing observational designs were unable to separate these two explanations. I study a natural experiment in Ohio, where the county courts randomly assign cases to judges. Judges differ in their propensity to incarcerate defendants, and I use this variation as an instrumental variable for incarceration. I find that parental incarceration \\textit{reduces} the likelihood of the child committing crimes or being incarcerated as an adult, with the reductions concentrated among children who's parent is a first time-defendant and accused of relatively minor crimes. I find similar effects for sibling incarceration, and conclude that incarceration of a family member increases the salience of punishment for children, reducing future criminality.""]",01/01/2018,Economics,Dissertation,"code: 1, date: 12/22/2018",Private,Norris_northwestern_0163D_14101.pdf
49,DNA-Directed Nanoparticle Assembly via Multi-Scale Modeling and Simulation,"(None, 'Saijie', None, 'Pan')","DNA, Molecular Dynamics, Monte Carlo, nanoparticle, self-assembly",In Copyright,"['Nano-scale materials possess many unique physical and chemical properties which are not found in bulk materials. The ability to synthesize these materials by design is one of the greatest challenges in materials science. Advances towards meeting this challenge will lead to discoveries in fields such as plasmonics, photonics, catalysis, and energy sciences. DNA-directed self assembly has emerged as a novel approach for generating nanoparticle superlattices, where nanoparticle ""atoms"" functionalized with a dense shell of DNA linkers, termed programmable atom equivalents (PAEs), are assembled into crystalline superlattices with tunable compositions, crystal symmetries, and lattice parameters. To bring the potential of this technique into real applications requires a deep understanding of the precise control of the spatial distribution and orientation of the nano-scale building blocks. Theoretical models and computer simulations can play an important role in the understanding of the assembly process over multiple length scales, and eventually predict various phase behaviours. This thesis studies DNA-directed nanoparticle assembly via multi-scale modeling and simulation. The original work can be divided into three parts:', '(i) DNA-directed assembly is a well developed approach in constructing desired nano-scale architectures, while E-beam lithography is widely utilized for high resolution nano-scale patterning. Recently, a new technique combining these two methods was developed to epitaxially grow DNA-mediated nanoparticle superlattices on patterned substrates with specific orientation and controllable sizes. However, defects were observed which restricted this technique from building large-scale superlattices for real applications. In order to optimize the epitaxial growth, we used molecular dynamics simulations to study the nature of the formation of these defects and further developed design rules to dramatically reduce defects. \t ', '(ii) efects play an important role in materials science. Like any solid in nature, superlattices can contain different kinds of structural defects, which significantly alter their physical properties. They may provide material advantages or disadvantages. Further development of these materials requires a deeper understanding and good control over structural defect formation. We used Monte Carlo simulations to conduct a systematic study of defect formation in epitaxial growth of nanoparticle superlattices at a much larger length scale. The simulations show two main results. First, structural defects have long range correlations and form one-dimensional clusters with an exponential length distribution. Second, these linear defects exhibit spontaneous symmetry breaking and undergo a liquid crystal phase transition. Furthermore, we introduced a mean-field theoretical approach, which is in strong agreement with the simulation results. ', '(iii) In previous studies, we focused on spherical nanoparticle building blocks. However, non-spherical nanoparticles are ideal building blocks for self assembly into various functional nanomaterials due to their unique and anisotropic physical properties. With the advent of methods for preparing non-spherical building blocks, DNA-directed assembly of anisotropic nanoparticles has attracted the interest of both experimental and computational research. The challenge is how to assemble these anisotropic nanoparticles into required target structures to obtain desired properties. Here we conducted multi-scale molecular dynamics simulations and Monte Carlo simulations to study the DNA-directed assembly of tetrahedron nanoparticles. We observed quasicrystalline structures with five fold symmetry in the assemblies. Further, we demonstrated that icosahedral nanocages can be formed by truncated tetrahedron building blocks with specific preconfiguration.']",01/01/2018,Applied Physics,Dissertation,None,no embargo,Pan_northwestern_0163D_14126.pdf
